n_clusters,n_dims,n_samples,algorithm,param,distance_calculations_average,fit_time_average
9,4,1000000.0,mb-kmeans,500.0,47179800.0,0.44589531421661377
9,4,1000000.0,mb-kmeans,1000.0,49854600.0,0.4992955446243286
9,4,1000000.0,rpkm,1.0,442.8,0.16236259937286376
9,4,1000000.0,rpkm,2.0,4212.0,0.3100575923919678
9,4,1000000.0,rpkm,3.0,40726.8,0.4961723804473877
9,4,1000000.0,rpkm,4.0,417900.6,0.9342306613922119
9,4,1000000.0,rpkm,5.0,2344428.0,2.3886914014816285
9,4,1000000.0,rpkm,6.0,9435280.5,8.97790813446045
9,8,100.0,k-means++,None,9180.0,0.002392148971557617
9,8,100.0,mb-kmeans,100.0,28080.0,0.011211514472961426
9,8,100.0,mb-kmeans,500.0,101700.0,0.011195611953735352
9,8,100.0,mb-kmeans,1000.0,253800.0,0.014394688606262206
9,8,100.0,rpkm,1.0,2737.8,0.0027699708938598634
9,8,100.0,rpkm,2.0,7139.7,0.006966781616210937
9,8,100.0,rpkm,3.0,7139.7,0.010204744338989259
9,8,100.0,rpkm,4.0,7139.7,0.00989382266998291
9,8,100.0,rpkm,5.0,7139.7,0.010074782371520995
9,8,100.0,rpkm,6.0,7139.7,0.009963440895080566
9,8,1000.0,k-means++,None,130500.0,0.0035133123397827148
9,8,1000.0,mb-kmeans,100.0,77760.0,0.013649344444274902
9,8,1000.0,mb-kmeans,500.0,166050.0,0.011846780776977539
9,8,1000.0,mb-kmeans,1000.0,265500.0,0.012714695930480958
9,8,1000.0,rpkm,1.0,6817.5,0.005022716522216797
9,8,1000.0,rpkm,2.0,40313.7,0.022627377510070802
9,8,1000.0,rpkm,3.0,105458.4,0.05424478054046631
9,8,1000.0,rpkm,4.0,107256.6,0.12079167366027832
9,8,1000.0,rpkm,5.0,107256.6,0.09768476486206054
9,8,1000.0,rpkm,6.0,107256.6,0.08572807312011718
9,8,10000.0,k-means++,None,1224000.0,0.2268673896789551
9,8,10000.0,mb-kmeans,100.0,557640.0,0.050026774406433105
9,8,10000.0,mb-kmeans,500.0,682200.0,0.08659992218017579
9,8,10000.0,mb-kmeans,1000.0,829800.0,0.10660202503204345
9,8,10000.0,rpkm,1.0,11713.5,0.009279561042785645
9,8,10000.0,rpkm,2.0,134237.7,0.05577206611633301
9,8,10000.0,rpkm,3.0,1358673.3,0.6680629968643188
9,8,10000.0,rpkm,4.0,1717684.2,1.3920093297958374
9,8,10000.0,rpkm,5.0,1735682.4,1.5132110595703125
9,8,10000.0,rpkm,6.0,1735682.4,1.7773335933685304
9,8,100000.0,k-means++,None,19710000.0,0.5236723899841309
9,8,100000.0,mb-kmeans,100.0,5045850.0,0.29104349613189695
9,8,100000.0,mb-kmeans,500.0,5567400.0,0.17562875747680665
9,8,100000.0,mb-kmeans,1000.0,5576400.0,0.14183733463287354
9,8,100000.0,rpkm,1.0,16484.4,0.0319751501083374
9,8,100000.0,rpkm,2.0,178638.3,0.14604563713073732
9,8,100000.0,rpkm,3.0,2141323.2,1.2596260547637939
