n_clusters,n_dims,n_samples,algorithm,param,distance_calculations_average,fit_time_average
9,2,1200000,rpkm,6.0,373753.8,1.2422168731689454
9,2,4000000,k-means++,None,662400000.0,2.479955530166626
9,2,4000000,mb-kmeans,100.0,186621480.0,6.426892805099487
9,2,4000000,mb-kmeans,500.0,190879650.0,1.7944887161254883
9,2,4000000,mb-kmeans,1000.0,192142800.0,1.192982816696167
9,2,4000000,rpkm,1.0,378.9,1.2530303478240967
9,2,4000000,rpkm,2.0,1572.3,1.691774606704712
9,2,4000000,rpkm,3.0,8470.8,2.1877932071685793
9,2,4000000,rpkm,4.0,41648.4,2.7586756229400633
9,2,4000000,rpkm,5.0,130392.9,3.5202226400375367
9,2,4000000,rpkm,6.0,352509.3,4.354455971717835
9,4,4000,k-means++,None,788400.0,0.08373751640319824
9,4,4000,mb-kmeans,100.0,212040.0,0.018066787719726564
9,4,4000,mb-kmeans,500.0,282150.0,0.011848378181457519
9,4,4000,mb-kmeans,1000.0,439200.0,0.08716895580291747
9,4,4000,rpkm,1.0,693.0,0.004027915000915527
9,4,4000,rpkm,2.0,4086.0,0.007507514953613281
9,4,4000,rpkm,3.0,19588.5,0.01626420021057129
9,4,4000,rpkm,4.0,62073.9,0.03349878787994385
9,4,4000,rpkm,5.0,154228.5,0.0739363431930542
9,4,4000,rpkm,6.0,208036.8,0.15380585193634033
9,4,12000,k-means++,None,2710800.0,0.4221848964691162
9,4,12000,mb-kmeans,100.0,604890.0,0.03491497039794922
9,4,12000,mb-kmeans,500.0,690750.0,0.01766335964202881
9,4,12000,mb-kmeans,1000.0,827100.0,0.09248707294464112
9,4,12000,rpkm,1.0,398.7,0.005701899528503418
9,4,12000,rpkm,2.0,2836.8,0.010061883926391601
9,4,12000,rpkm,3.0,19711.8,0.0182034969329834
9,4,12000,rpkm,4.0,87590.7,0.044840645790100095
9,4,12000,rpkm,5.0,254078.1,0.10320408344268799
9,4,12000,rpkm,6.0,494491.5,0.2800152778625488
9,4,40000,k-means++,None,8532000.0,0.40811522006988527
9,4,40000,mb-kmeans,100.0,1908000.0,0.08651456832885743
9,4,40000,mb-kmeans,500.0,2124450.0,0.0382957935333252
9,4,40000,mb-kmeans,1000.0,2202300.0,0.09772498607635498
9,4,40000,rpkm,1.0,234.9,0.011278820037841798
9,4,40000,rpkm,2.0,2371.5,0.018547439575195314
9,4,40000,rpkm,3.0,16007.4,0.028059887886047363
9,4,40000,rpkm,4.0,76520.7,0.052666664123535156
9,4,40000,rpkm,5.0,303183.9,0.12903084754943847
9,4,40000,rpkm,6.0,771760.8,0.4547788143157959
9,4,120000,k-means++,None,22572000.0,0.3801542043685913
9,4,120000,mb-kmeans,100.0,5698260.0,0.22322301864624022
9,4,120000,mb-kmeans,500.0,6019650.0,0.07820587158203125
9,4,120000,mb-kmeans,1000.0,5756400.0,0.11062979698181152
9,4,120000,rpkm,1.0,297.0,0.03496840000152588
9,4,120000,rpkm,2.0,2448.0,0.052696752548217776
9,4,120000,rpkm,3.0,16121.7,0.06309609413146973
9,4,120000,rpkm,4.0,76806.0,0.09752511978149414
9,4,120000,rpkm,5.0,432656.1,0.26269638538360596
9,4,120000,rpkm,6.0,1416678.3,0.7853845596313477
9,4,400000,k-means++,None,87840000.0,0.5670858144760131
9,4,400000,mb-kmeans,100.0,18434430.0,0.5652706861495972
9,4,400000,mb-kmeans,500.0,18868050.0,0.17658815383911133
9,4,400000,mb-kmeans,1000.0,21146400.0,0.28411386013031004
9,4,400000,rpkm,1.0,312.3,0.09354779720306397
9,4,400000,rpkm,2.0,2160.0,0.13780932426452636
9,4,400000,rpkm,3.0,17632.8,0.18432822227478027
9,4,400000,rpkm,4.0,74238.3,0.25405886173248293
9,4,400000,rpkm,5.0,578817.9,0.49273881912231443
9,4,400000,rpkm,6.0,1867209.3,1.2321012496948243
9,4,1200000,k-means++,None,326160000.0,1.2882731676101684
9,4,1200000,mb-kmeans,100.0,56157480.0,1.9673155069351196
9,4,1200000,mb-kmeans,500.0,56790900.0,0.5420634746551514
9,4,1200000,mb-kmeans,1000.0,58275000.0,0.49830763339996337
9,4,1200000,rpkm,1.0,324.9,0.2827935218811035
9,4,1200000,rpkm,2.0,2693.7,0.4205028057098389
9,4,1200000,rpkm,3.0,18661.5,0.5926367521286011
9,4,1200000,rpkm,4.0,89847.0,0.8284019708633423
9,4,1200000,rpkm,5.0,809340.3,1.2589332818984986
9,4,1200000,rpkm,6.0,2641126.5,2.2544343948364256
9,4,4000000,k-means++,None,738000000.0,2.9554569244384767
9,4,4000000,mb-kmeans,100.0,184979790.0,6.0186015367507935
9,4,4000000,mb-kmeans,500.0,187916850.0,1.6064292192459106
9,4,4000000,mb-kmeans,1000.0,192775500.0,1.373393440246582
9,4,4000000,rpkm,1.0,418.5,1.066116952896118
9,4,4000000,rpkm,2.0,2782.8,1.523184108734131
9,4,4000000,rpkm,3.0,23247.9,2.0819114208221436
9,4,4000000,rpkm,4.0,151531.2,3.062175154685974
9,4,4000000,rpkm,5.0,854822.7,4.186514163017273
9,4,4000000,rpkm,6.0,4067084.7,5.888178014755249
9,8,4000,k-means++,None,979200.0,0.09258449077606201
9,8,4000,mb-kmeans,100.0,220230.0,0.022458934783935548
9,8,4000,mb-kmeans,500.0,294750.0,0.08299844264984131
9,8,4000,mb-kmeans,1000.0,411300.0,0.10298538208007812
9,8,4000,rpkm,1.0,1359.9,0.005175018310546875
9,8,4000,rpkm,2.0,7682.4,0.011579442024230956
9,8,4000,rpkm,3.0,53407.8,0.027891325950622558
9,8,4000,rpkm,4.0,145288.8,0.13414127826690675
9,8,4000,rpkm,5.0,296136.9,0.1489422082901001
9,8,4000,rpkm,6.0,412865.1,0.37472293376922605
9,8,12000,k-means++,None,2721600.0,0.6049611091613769
9,8,12000,mb-kmeans,100.0,608220.0,0.04128899574279785
9,8,12000,mb-kmeans,500.0,700650.0,0.06811337471008301
9,8,12000,mb-kmeans,1000.0,795600.0,0.09153444766998291
9,8,12000,rpkm,1.0,1496.7,0.0066155195236206055
9,8,12000,rpkm,2.0,9418.5,0.015265822410583496
9,8,12000,rpkm,3.0,52879.5,0.04560256004333496
9,8,12000,rpkm,4.0,206933.4,0.14313347339630128
9,8,12000,rpkm,5.0,387166.5,0.2837636947631836
9,8,12000,rpkm,6.0,544096.8,0.6259186029434204
9,8,40000,k-means++,None,8460000.0,0.5701047420501709
9,8,40000,mb-kmeans,100.0,1986480.0,0.10705516338348389
9,8,40000,mb-kmeans,500.0,2158200.0,0.10106761455535888
9,8,40000,mb-kmeans,1000.0,2286900.0,0.10799732208251953
9,8,40000,rpkm,1.0,1495.8,0.018479275703430175
9,8,40000,rpkm,2.0,11486.7,0.029343461990356444
9,8,40000,rpkm,3.0,104996.7,0.07352590560913086
9,8,40000,rpkm,4.0,386981.1,0.20633318424224853
9,8,40000,rpkm,5.0,845757.9,0.7343482971191406
9,8,40000,rpkm,6.0,1637820.9,1.4818053722381592
9,8,120000,k-means++,None,25596000.0,0.4984597206115723
9,8,120000,mb-kmeans,100.0,5682600.0,0.2283773899078369
9,8,120000,mb-kmeans,500.0,5830650.0,0.13535425662994385
9,8,120000,mb-kmeans,1000.0,6079500.0,0.1342801570892334
9,8,120000,rpkm,1.0,1794.6,0.035788226127624514
9,8,120000,rpkm,2.0,14164.2,0.057225155830383304
9,8,120000,rpkm,3.0,107891.1,0.10783703327178955
9,8,120000,rpkm,4.0,380154.6,0.27383012771606446
9,8,120000,rpkm,5.0,1145405.7,0.9406311750411988
9,8,120000,rpkm,6.0,1754180.1,2.185878348350525
9,8,400000,k-means++,None,73440000.0,0.5382889747619629
9,8,400000,mb-kmeans,100.0,18941310.0,0.7497507572174072
9,8,400000,mb-kmeans,500.0,18961650.0,0.24693601131439208
9,8,400000,mb-kmeans,1000.0,20689200.0,0.28488237857818605
9,8,400000,rpkm,1.0,1845.9,0.12418916225433349
9,8,400000,rpkm,2.0,15793.2,0.1813364028930664
9,8,400000,rpkm,3.0,126054.0,0.2840780973434448
9,8,400000,rpkm,4.0,455181.3,0.6160763740539551
9,8,400000,rpkm,5.0,1318777.2,1.4616463422775268
9,8,400000,rpkm,6.0,3543963.3,4.022911310195923
9,8,1200000,k-means++,None,272160000.0,1.2610088348388673
9,8,1200000,mb-kmeans,100.0,55663830.0,1.820394468307495
9,8,1200000,mb-kmeans,500.0,56690100.0,0.580861234664917
9,8,1200000,mb-kmeans,1000.0,56368800.0,0.3808291435241699
9,8,1200000,rpkm,1.0,2287.8,0.36613802909851073
9,8,1200000,rpkm,2.0,18096.3,0.585581922531128
9,8,1200000,rpkm,3.0,103077.9,0.8784365177154541
9,8,1200000,rpkm,4.0,745622.1,1.4737165689468383
9,8,1200000,rpkm,5.0,2373845.4,2.756307363510132
9,8,1200000,rpkm,6.0,4659425.1,7.383707928657532
9,8,4000000,k-means++,None,810000000.0,3.0385174036026
9,8,4000000,mb-kmeans,100.0,184282470.0,5.72263023853302
9,8,4000000,mb-kmeans,500.0,188504100.0,1.7322304248809814
9,8,4000000,mb-kmeans,1000.0,198667800.0,1.6958489418029785
9,8,4000000,rpkm,1.0,1375.2,1.0453449010848999
9,8,4000000,rpkm,2.0,12645.0,1.6946146488189697
9,8,4000000,rpkm,3.0,92159.1,2.701264977455139
9,8,4000000,rpkm,4.0,498350.7,3.778363585472107
9,8,4000000,rpkm,5.0,2569370.4,5.608903980255127
9,8,4000000,rpkm,6.0,11076757.2,11.28073160648346
